id,track_name,artist_name,acousticness,danceability,energy,valence,instrumentalness,speechiness,tempo,loudness,mode,key,duration_ms,time_signature
6btke96zwYQHwsoMGNeQM9,毒の王子さま,猫又おかゆ,0.00287,0.631,0.857,0.867,0.000694,0.0359,115.043,-3.768,0,7,215492.0,4.0
13Snz1MthSGTD8579hP3N5,オーバード,鷹嶺ルイ,0.0322,0.677,0.807,0.644,1.06e-06,0.0802,129.988,-6.484,1,8,200615.0,4.0
7iYXPZHG3LnMWPmiwoGn4f,If You Could See Me Now,Bill Evans Trio,0.92,0.519,0.148,0.079,0.775,0.0348,61.94,-19.037,0,10,268507.0,4.0
0jyXW8hxeIzX4QwznqVT0E,Maiden Voyage / Everything In Its Right Place,Robert Glasper,0.913,0.417,0.374,0.105,0.94,0.0486,141.187,-17.408,0,5,523613.0,4.0
2Y27T6eJuQgu32Hvr8Y4k9,百倍返し,吉乃,0.144,0.737,0.918,0.635,2.51e-06,0.049,110.013,-4.133,1,1,174053.0,4.0
5UxdxCXlUuoqZQCbfFLYEU,Be My Love,Kenny Drew Trio,0.721,0.387,0.602,0.698,0.000944,0.0289,137.476,-10.751,0,2,164013.0,4.0
5uBpbSDljWMFtKxMYHsmpY,Avec le temps,Giovanni Guidi,0.965,0.242,0.0736,0.0728,0.825,0.0348,81.354,-25.265,1,0,393373.0,4.0
3Gwd7u3e0QrOItpaI5Bddd,"Pasquier - BOF ""Des Femmes Disparaissent""",Art Blakey,0.996,0.66,0.0215,0.192,0.97,0.064,68.842,-25.76,0,2,60160.0,4.0
6TkQrtwNlr9BhsovTflSir,Together,DJ Harrison,0.383,0.364,0.695,0.488,0.0085,0.0458,83.12,-6.645,1,11,162751.0,4.0
5oq7NF2AjuMbfDMWdmFSbE,Romain,Bill Evans,0.995,0.4,0.0428,0.151,0.948,0.0479,90.708,-24.341,0,0,323733.0,4.0
0bDlhKzFeybyiwcDYnrGe0,"Alice In Wonderland - Take 2 / Live At The Village Vanguard, NYC; 6/25/1961",Bill Evans Trio,0.852,0.434,0.297,0.364,0.861,0.0347,82.867,-18.316,1,0,514533.0,4.0
0gZ6cHftLlQLb1MW946DTm,Lu's Bounce,Dan Nimmer Trio,0.609,0.408,0.656,0.637,0.82,0.0383,122.714,-8.249,0,9,396000.0,4.0
5IuPSYyNHgrX1f866kAqra,Jazzmatic (feat. Steph the Sapphic Songstress),Bop Alloy,0.43,0.639,0.656,0.826,0.0,0.17,97.887,-6.075,1,8,176640.0,4.0
2SlAh8uUAxJZdwqwoB7Atu,エウレカ,柊キライ,0.022,0.679,0.663,0.631,0.443,0.166,140.149,-7.869,1,1,167607.0,4.0
4vMetJmQshUxrBB1mowevn,Swingin' For Mezz,Mezz Mezzrow,0.954,0.574,0.307,0.926,0.937,0.181,195.814,-10.461,1,5,190746.0,4.0
1IZVTeGEOPzb3vazDsMiL7,Herbie's Blues,Herb Hall,0.953,0.681,0.0681,0.462,0.887,0.0426,85.413,-20.602,1,7,284954.0,4.0
2qXWP1VcL8XI4xcVMpbrj0,I Get A Kick Out Of You,Jamie Cullum,0.473,0.554,0.5,0.514,0.0,0.0354,116.933,-8.277,1,8,250280.0,4.0
3bbo0jKI42JGQCZJnbMOYk,Indiana,Billy Taylor Trio,0.932,0.34,0.565,0.97,0.95,0.0324,153.946,-12.919,0,0,140867.0,4.0
1LXbmC4kvaIyV4FwzL6fou,Wish you were here - boy soprano version,HISASHI KANZAKI,0.562,0.188,0.258,0.0907,0.0,0.0305,139.691,-11.043,0,9,219481.0,4.0
129Rey7zACDLhRx58avwM3,Queen of Hearts,Royal Scandal,0.000625,0.518,0.898,0.592,0.001,0.0484,117.5,-5.318,0,10,215187.0,4.0
5kHSFEtrXMjXnqSrgdg4bx,Milk & Honey,Hollie Cook,0.244,0.752,0.682,0.778,0.00173,0.178,77.966,-7.425,1,2,219867.0,4.0
49WdcsHhChk3FHkCnCArUE,It Could Happen To You,Nat King Cole,0.925,0.664,0.186,0.613,0.106,0.0405,152.729,-18.896,0,0,167640.0,4.0
46xwl2PYDmeEnYGdXnvW2g,I'm Glad There's You,Gene Hart Trio,0.952,0.458,0.0922,0.112,0.756,0.0373,112.928,-20.71,1,5,241424.0,4.0
5vqAcaqvnU7mKey51GcwXy,"To You (feat. Robert Glasper, Emi Secrest)",Juicy J,0.662,0.672,0.625,0.415,0.0,0.331,87.999,-7.502,0,10,236873.0,4.0
14SfLWyzXDzoDDsv4aq2eF,Streets is Calling (feat. M.anifest & Moonchild Sanelly) - Single Edit,Ezra Collective,0.23,0.791,0.632,0.79,0.000716,0.259,105.144,-10.027,1,8,152855.0,4.0
6NF8MZ2trxckVBr82pyyPt,"Mercy, Mercy, Mercy",Cannonball Adderley,0.719,0.544,0.425,0.348,0.0186,0.0346,84.443,-10.231,1,10,313200.0,4.0
6S0nfnBby9tBiwBJ02Dbfj,AI Says I Love You,Gideon King & City Blog,0.281,0.523,0.403,0.292,1.84e-05,0.221,90.658,-11.416,1,2,189303.0,4.0
4epuV0tuoaeTUWn65UqYfy,Double Solitaire,King(Sakisaka Muku),0.319,0.86,0.67,0.623,7.52e-05,0.0627,142.005,-6.125,0,6,222840.0,4.0
4OM9NfKbaXrWCyMI32LXRo,Solo Flight,Charlie Christian,0.885,0.608,0.448,0.806,0.644,0.0372,176.814,-9.838,0,9,170973.0,4.0
6mP2sr32RtiyUrlq2AEvkG,It's a Blue World,Massimo Faraò,0.803,0.63,0.319,0.701,0.904,0.0523,107.864,-14.243,0,7,264093.0,4.0
6pIGCrUC7SmuSKnXKMBJkv,My One And Only Love,Art Tatum,0.978,0.54,0.15,0.357,0.763,0.0401,68.431,-17.949,1,10,372093.0,4.0
0dKqpfmN02qTZaErAeW0q6,Lost,James Berkeley,0.167,0.745,0.584,0.806,1.29e-05,0.0589,114.134,-6.733,1,0,188870.0,4.0
1tbzRQCZUoKYMCxzK0Jx5p,Stolen Moments,Ahmad Jamal Trio,0.89,0.483,0.273,0.164,0.899,0.0332,117.976,-17.457,1,8,392027.0,4.0
4Q59vOpIKQBQfwu5ZJylDy,Baila,Numasbala,0.0656,0.554,0.783,0.707,0.000108,0.0547,190.062,-8.326,0,2,234709.0,4.0
6s0WKfp31etnQHIusE41gC,Neighbourhood,Teen Daze,0.901,0.713,0.254,0.495,0.173,0.0332,72.027,-10.83,1,2,164000.0,1.0
1HMFR3HYgQOwsOqC3RbJ3y,My Romance,The Dave Brubeck Quartet,0.936,0.675,0.174,0.137,0.0314,0.0411,115.64,-16.06,1,10,409400.0,4.0
07un2Hvf0GPeQlZxOxAs6d,Background Music,Aaron Goldberg,0.766,0.397,0.379,0.751,0.923,0.0748,166.126,-16.011,1,6,168760.0,4.0
23JxTvy3GwWhJvLewlkTOo,My Gal Sal,Antti Sarpila,0.807,0.674,0.539,0.802,0.08,0.0383,113.373,-6.843,0,0,183480.0,4.0
2wZNF59RHt3HYX4SqgP8cO,Mood Indigo,Russell Procope,0.977,0.313,0.331,0.182,0.949,0.0353,83.564,-13.417,1,5,518863.0,3.0
7ccrMcpm7CZPNEkJtUgPjo,The Game,Peter Beets,0.851,0.564,0.422,0.621,0.933,0.0271,134.382,-13.549,0,2,442187.0,4.0
1DqPAF3aB0umTUK1UN3wWW,Lucky Strike,Elmo Hope,0.811,0.456,0.521,0.953,0.955,0.0354,82.202,-12.887,0,0,172747.0,4.0
5XDxg9wiRYxXdJG6ftoOo1,Love Span,Mal Waldron,0.966,0.544,0.0723,0.0725,0.927,0.0382,60.877,-20.896,0,1,312587.0,4.0
02BiofPNFt4dR9YV7quNXt,The Windmills of Your Mind,Sinne Eeg,0.858,0.305,0.242,0.253,0.0,0.0368,77.551,-12.506,0,11,317757.0,4.0
2Tt0lBrZ7g8kmtkSwjD6yP,Luv (sic) pt2,Shing02,0.481,0.847,0.529,0.797,0.00348,0.175,92.685,-5.321,0,5,274733.0,4.0
2omuxsERh3Hc9IbHnKfzei,Alta Frequência,São Paulo Ska Jazz,0.0108,0.633,0.766,0.93,0.8,0.0321,131.951,-6.61,0,7,193880.0,4.0
72LSGNDLY4sdvyrGIKtd2Q,Luv (sic) Grand Finale (feat. Shing02),Nujabes,0.0773,0.625,0.678,0.287,0.275,0.0514,91.985,-8.759,1,7,316760.0,4.0
0NQuT0jozm3uAYKGuHaYLP,SWINGING SKY LINE,神崎ひさし,0.329,0.772,0.391,0.289,0.621,0.0352,129.98,-9.58,1,5,206769.0,4.0
2tzH3QLiJij3dNqx3sBein,From My Heart (feat. Nyukyung & Der),Keevin,0.378,0.594,0.65,0.577,1.32e-05,0.0749,86.035,-11.453,0,7,196738.0,4.0
1YOBnjWkJalKwI08CGkIeg,A Smooth One,Junior Mance,0.958,0.783,0.213,0.573,0.812,0.0511,124.175,-17.404,0,5,206947.0,4.0
2dbDkQJ9DvzK6EQQwqtOUM,My Melancholy Baby,Bill Evans,0.908,0.595,0.275,0.52,0.856,0.0678,102.669,-18.845,0,5,314280.0,4.0
1zkl4WBjBh1xUs5tYK8hfP,Shortcuts (feat. Sam Ock),Kero One,0.313,0.783,0.684,0.82,0.000929,0.0653,97.982,-5.742,1,3,297333.0,4.0
4VO19I7PqB0YbR5r4Nbv26,Chasing Days - Sam Redmore Remix,Izo FitzRoy,0.0213,0.754,0.895,0.667,0.292,0.0427,106.0,-8.134,1,5,322813.0,4.0
