id,track_name,artist_name,acousticness,danceability,energy,valence,instrumentalness,speechiness,tempo,loudness,mode,key,duration_ms,time_signature
6sXMxl2lCm4Bjgao8YVBek,Don't Mess up Your Chances,Lost In A Detail,0.00598,0.369,0.591,0.169,0.819,0.0294,66.925,-8.898,0,2,371881.0,4.0
2GHYJ0dhVds3PODKnTdiGE,All I Want,Toad The Wet Sprocket,0.0558,0.6,0.811,0.622,6.82e-06,0.0788,124.303,-7.693,1,5,196116.0,4.0
60a0Rd6pjrkxjPbaKzXjfq,In the End,Linkin Park,0.00958,0.556,0.864,0.4,0.0,0.0584,105.143,-5.87,0,3,216880.0,4.0
2XBsQSZqHPPAtZpRG6TvIm,(We're Gonna) Rock Around The Clock - Single Version,Bill Haley & His Comets,0.354,0.799,0.646,0.763,8.41e-06,0.146,89.858,-12.579,0,1,132027.0,4.0
0dzm5UV2KgrI8aMH3DiHgQ,Rock A-Beatin' Boogie,Bill Haley & His Comets,0.61,0.509,0.932,0.844,0.000868,0.0772,182.115,-10.772,0,10,140493.0,4.0
2ZtixXKNeEMfQqT4iYGqjp,No Signal,Chon,0.0191,0.411,0.629,0.406,0.777,0.0478,110.047,-8.126,1,6,228016.0,1.0
5oPwLyvl5yLdlTsr4gT2at,One To Another,The Charlatans,0.00023,0.444,0.896,0.291,9.7e-05,0.0512,102.502,-5.096,1,10,269773.0,4.0
2AhqPhQ4E1r9v2i2TfJHR0,Landslide,Molly Parden,0.767,0.366,0.262,0.181,2.06e-05,0.0322,151.11,-12.635,1,2,245907.0,4.0
0SVHmzoAeJ64v9rexpYFl8,Il mondo scompare,Simone Contin,0.00152,0.553,0.922,0.424,0.0,0.0796,120.075,-6.169,1,0,281000.0,4.0
14WxdK01IyDl3bumvqufxH,I'm on Fire,The Staves,0.741,0.302,0.191,0.0703,9.6e-05,0.0318,75.704,-15.166,1,2,192053.0,4.0
3xl7hbVVRhdej6ZuypMmW9,Maybellene - Single Version,Chuck Berry,0.791,0.758,0.768,0.753,0.0,0.08,117.518,-11.401,1,0,140933.0,4.0
5480ixMtZrxXUK35jUlR8K,Paris,Artyom,0.00136,0.488,0.808,0.108,0.812,0.0403,101.983,-6.872,0,6,511756.0,4.0
4AtOah0XwgtIJmqS8bYPjo,China Cup,Black Dog Days,0.000822,0.45,0.55,0.166,0.0842,0.027,77.488,-13.37,1,4,520907.0,4.0
0EGKEgnq50aHRHst8JMHkV,Pierced Through the Heart,Glory's Gate,0.0443,0.536,0.675,0.788,0.0011,0.036,127.26,-9.944,0,11,254380.0,4.0
7IqOoohnytE4kDEf9NktSZ,68 KILL,Staytus,0.0703,0.531,0.799,0.272,0.0238,0.0628,135.031,-13.574,1,8,284000.0,4.0
0IsUQ9CdJL1fftX783YJcQ,The Solar Apex,Wanheda,0.168,0.337,0.679,0.137,0.742,0.0353,108.294,-9.109,0,6,256760.0,4.0
2U64TRs9DKbGzs2fPxSGdx,Rescue Light,Hurricane on Saturn,0.00162,0.428,0.943,0.605,0.0,0.0798,152.041,-4.129,1,0,199737.0,4.0
4YHuamtEs3djrXVieR45n4,世界樹,LOOP POOL,0.211,0.597,0.723,0.693,0.955,0.0329,96.972,-6.973,1,7,383520.0,3.0
3OKR9pIKluSzRTNCJxPBa7,Disco,Threefiftysixam,0.00196,0.647,0.497,0.819,0.94,0.0441,126.98,-8.898,1,1,346837.0,4.0
2mY7Y5HhcLZocjb4f3kraE,Lotus,3nd,0.00639,0.345,0.71,0.357,0.895,0.0295,128.53,-6.489,1,2,278973.0,4.0
3pBP2h8xVxA8WtcPqB5izo,الناس للناس,Midnight Pin,0.00949,0.352,0.717,0.375,0.0,0.0458,127.551,-5.703,0,2,272344.0,4.0
4Gm6HAhf0DoEc5CJtv9YwK,New Money,OT7 Quanny,0.0987,0.468,0.419,0.211,4.97e-05,0.224,98.896,-14.042,0,10,196968.0,4.0
7zmQOuwLtQVu6CnDVOYXNu,Glad All Over,Carl Perkins,0.32,0.77,0.72,0.868,0.0,0.0376,104.956,-9.591,1,8,99631.0,4.0
4f7YxnNIp3eGNUNIie9nKc,Face Down,ARASHI,0.218,0.733,0.943,0.707,0.0,0.163,127.967,-4.92,0,0,235474.0,4.0
5bjytv9i1wEuqB0083FWcu,Blue 88,we.own.the.sky,0.00343,0.491,0.634,0.179,0.889,0.0291,180.097,-7.811,0,7,413907.0,3.0
15jVFXYhmWejl922GsMRO2,太陽と心臓,Tokyo Ska Paradise Orchestra,0.0544,0.557,0.842,0.941,0.000159,0.0405,144.348,-6.383,1,1,267493.0,4.0
0vGTbYvJkMOzwlgxHViUfE,その向こうへ,10-FEET,0.000111,0.429,0.859,0.693,0.0,0.0672,174.039,-3.475,1,5,254107.0,4.0
5qmeQBbG1zMbNb96KIMsJi,Ara Caeli,Toundra,0.000141,0.245,0.838,0.0528,0.889,0.043,159.976,-5.761,1,0,477400.0,4.0
3Qneuhmmql9VSHLhpLcIgN,Green Lane,Sawce,0.301,0.348,0.751,0.184,0.253,0.0308,110.009,-6.367,1,9,224117.0,4.0
1Z9dqt60UbQMiaF7zMOJNG,Vetus Memoria,God Is An Astronaut,0.0421,0.308,0.743,0.346,0.902,0.0329,172.045,-10.788,0,10,320896.0,4.0
5X0Bw8bVxSm274py1RyosM,We the Boys Will Rock Ya,The Big Six,0.342,0.742,0.62,0.57,0.0,0.0853,106.341,-5.388,0,11,212067.0,4.0
50GWQ6IwHfU6obzfQrBOzy,Puddle,Chon,0.000126,0.384,0.814,0.599,0.827,0.0979,90.008,-6.815,0,8,219585.0,4.0
56Pd202ArNlPmpyqcjMhFg,Can You Smell the Rain,Scott David Roberts,0.379,0.466,0.5,0.0936,0.000181,0.0328,144.975,-8.629,1,5,234518.0,4.0
5VfBKtoQoxP9ctbB2HhW7n,Desert Soul,Rogue Bard,0.276,0.657,0.184,0.554,0.000198,0.0378,73.962,-10.05,1,9,220720.0,3.0
5JEQw0IWeaG1VF2xcfMhrW,孤独の発明,toe,0.0342,0.539,0.702,0.461,0.803,0.0283,121.95,-9.198,1,10,203507.0,4.0
3PB8iSyxMHfyENnye0v7Sl,The A Team,Ed Sheeran,0.669,0.642,0.289,0.407,0.0,0.0367,84.996,-9.918,1,9,258373.0,4.0
6YSUd8L6wef3k1IMP0zoz7,Fight,Rash Panzer,0.000128,0.509,0.853,0.479,1.63e-05,0.0377,132.05,-4.368,1,4,241880.0,4.0
14DeZjPYj6WdhiEn4AV5Ho,ありがとう,JUJU,0.185,0.409,0.633,0.22,0.0,0.0278,74.921,-5.423,1,0,353307.0,1.0
